File name, Time(s), Best path, Path lenght, Optimum, Best path, % of mistake
m9.atsp, 0.021000, 5-0-3-4-2-8-7-6-1-5, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 0-3-4-2-8-7-6-1-5-0, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.019000, 4-2-8-7-6-1-5-0-3-4, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 7-6-1-5-0-3-4-2-8-7, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.023000, 6-1-5-0-3-4-2-8-7-6, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 5-0-3-4-2-8-7-6-1-5, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 8-2-4-3-0-5-1-6-7-8, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 5-0-3-4-2-8-7-6-1-5, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 2-4-3-0-5-1-6-7-8-2, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.021000, 0-3-4-2-8-7-6-1-5-0, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 2-4-3-0-5-1-6-7-8-2, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 0-3-4-2-8-7-6-1-5-0, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.021000, 6-1-5-0-3-4-2-8-7-6, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 4-2-8-7-6-1-5-0-3-4, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.022000, 8-2-4-3-0-5-1-6-7-8, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 1-5-0-3-4-2-8-7-6-1, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 7-6-1-5-0-3-4-2-8-7, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
m9.atsp, 0.020000, 3-0-5-1-6-7-8-2-4-3, 215, 215, 0-3-4-2-8-7-6-1-5-0, 0
File name, Time(s), Best path, Path lenght, Optimum, Best path, % of mistake
tsp_10.txt, 0.207000, 3-0-5-1-9-6-7-8-2-4-3, 212, 212, 0-3-4-2-8-7-6-9-1-5-0, 0
